paper_id,rigor_score,r2,grouped_splitting,external_validation,reports_train_and_test,hpo_reported,selection_criteria,code_available,data_available,adequate_size,kfold_or_better
1,2,0.914,False,False,True,True,False,False,False,False,False
2,2,0.976,False,False,True,False,False,False,True,False,False
3,0,,False,False,False,False,False,False,False,False,False
5,2,,False,False,True,False,False,False,False,False,True
6,7,0.91,True,False,True,True,True,True,True,True,False
7,2,0.9816,False,False,True,True,False,False,False,False,False
8,4,0.9,False,False,True,True,True,False,True,False,False
9,1,0.9973,False,False,True,False,False,False,False,False,False
10,1,0.99904,False,False,True,False,False,False,False,False,False
12,3,0.9238,True,False,True,False,False,False,False,False,True
14,1,0.9998,False,False,True,False,False,False,False,False,False
15,1,0.9517,False,False,False,False,False,False,True,False,False
17,5,0.918,False,True,True,True,True,False,False,True,False
18,1,0.91,False,False,True,False,False,False,False,False,False
23,6,0.973,False,False,True,True,True,False,True,True,True
24,4,,False,False,True,False,True,False,False,True,True
25,3,0.9851,False,False,True,True,False,False,True,False,False
51,4,0.94,False,True,True,False,True,False,True,False,False
52,6,0.99,False,True,True,False,True,True,True,True,False
54,2,0.99,False,False,True,False,False,False,False,True,False
55,7,0.879,False,True,True,True,True,True,True,True,False
56,3,0.98,False,False,False,True,True,True,False,False,False
57,1,,False,False,True,False,False,False,False,False,False
59,2,0.946,False,False,True,False,False,False,True,False,False
60,3,0.961,False,False,True,True,False,False,True,False,False
61,4,0.9573,False,False,False,True,True,False,False,True,True
63,2,0.9989469,False,False,True,False,False,False,False,False,True
65,2,0.897,False,False,False,True,False,False,False,False,True
68,1,0.999,False,False,True,False,False,False,False,False,False
70,3,0.974,False,False,True,False,True,False,False,True,False
71,2,0.978,False,False,False,False,True,False,False,True,False
72,2,0.9934,False,False,False,True,False,False,False,True,False
73,1,0.9572,False,False,False,False,False,False,True,False,False
74,1,0.9926,False,False,True,False,False,False,False,False,False
75,6,0.64,True,True,False,True,True,True,True,False,False
76,0,0.979,False,False,False,False,False,False,False,False,False
77,1,0.9995,False,False,True,False,False,False,False,False,False
79,3,0.93,False,False,False,True,True,False,False,True,False
82,6,0.9574,True,False,True,True,True,True,True,False,False
84,2,0.9958,False,False,True,False,False,False,True,False,False
86,3,0.9822,False,False,True,True,False,False,False,True,False
87,1,0.9998,False,False,True,False,False,False,False,False,False
88,5,0.9652,False,True,False,True,True,False,False,True,True
89,0,,False,False,False,False,False,False,False,False,False
90,0,0.989,False,False,False,False,False,False,False,False,False
91,4,0.936,False,True,False,True,True,False,True,False,False
92,1,0.9959,False,False,True,False,False,False,False,False,False
93,0,0.994,False,False,False,False,False,False,False,False,False
94,1,0.9928,False,False,True,False,False,False,False,False,False
95,6,0.91,False,False,False,True,True,True,True,True,True
96,0,0.97073,False,False,False,False,False,False,False,False,False
97,2,,False,True,False,True,False,False,False,False,False
98,1,0.9993,False,False,True,False,False,False,False,False,False
99,2,,False,False,True,True,False,False,False,False,False
100,5,0.977,False,True,False,False,True,True,True,True,False
101,3,0.9411,False,False,False,True,True,False,False,True,False
102,5,0.982,False,False,True,True,True,False,False,True,True
103,1,0.978,False,False,True,False,False,False,False,False,False
104,1,0.9435,False,False,True,False,False,False,False,False,False
105,1,0.98,False,False,True,False,False,False,False,False,False
106,3,1.0,False,False,True,False,False,False,False,True,True
108,1,0.99619,False,False,True,False,False,False,False,False,False
111,2,0.997,False,False,False,False,False,False,True,True,False
112,1,0.979,False,False,False,True,False,False,False,False,False
114,4,0.9943,False,False,True,False,False,False,True,True,True
115,5,0.9955,False,False,True,True,False,False,True,True,True
117,3,0.8289,False,False,False,False,True,False,False,True,True
120,6,0.852,False,False,False,True,True,True,True,True,True
121,2,0.999,False,False,True,False,False,False,True,False,False
122,5,0.93,False,True,False,True,True,False,True,True,False
124,1,0.9957,False,False,False,False,False,False,False,False,True
126,5,,False,True,True,False,True,False,False,True,True
127,2,0.9333,False,False,True,False,True,False,False,False,False
128,4,0.896,False,False,True,True,True,False,True,False,False
129,0,0.994,False,False,False,False,False,False,False,False,False
130,2,,False,False,True,False,True,False,False,False,False
131,2,0.9966,False,False,True,True,False,False,False,False,False
132,1,0.99907,False,False,False,True,False,False,False,False,False
133,5,0.951,False,False,True,True,True,False,False,True,True
134,1,,False,False,False,False,False,False,False,False,True
135,5,0.986,False,False,False,True,True,True,True,True,False
136,3,,False,False,True,False,True,False,False,True,False
137,2,0.949,False,False,False,False,True,False,False,True,False
138,3,,False,False,True,True,False,False,False,True,False
139,1,0.99,False,False,True,False,False,False,False,False,False
140,1,0.994,False,False,False,False,False,False,True,False,False
141,7,0.973,False,True,True,True,True,True,True,True,False
142,3,0.9785,False,False,True,True,False,False,False,False,True
143,0,0.9985,False,False,False,False,False,False,False,False,False
144,3,0.98,False,False,False,True,False,False,True,True,False
145,1,,False,False,True,False,False,False,False,False,False
146,4,0.954,False,False,False,False,True,False,True,True,True
147,4,0.98,False,False,True,True,True,False,False,False,True
148,2,,False,False,False,True,False,False,False,False,True
150,2,0.9992,False,True,False,False,False,False,False,True,False
152,3,,False,False,True,True,True,False,False,False,False
153,4,0.99,False,False,True,False,True,True,False,True,False
156,0,0.9999,False,False,False,False,False,False,False,False,False
158,1,0.9893,False,False,True,False,False,False,False,False,False
165,2,0.976,False,False,True,True,False,False,False,False,False
166,4,0.99,False,True,False,False,False,False,True,True,True
167,3,0.9943,False,False,False,True,True,False,False,True,False
168,3,0.976,False,False,False,False,False,False,True,True,True
170,1,0.87,False,False,False,False,False,False,False,False,True
172,4,0.93,False,False,True,True,False,False,True,True,False
175,6,,False,True,False,False,True,True,True,True,True
176,3,0.874,False,False,True,True,True,False,False,False,False
177,1,0.932,False,False,True,False,False,False,False,False,False
178,5,0.9329,False,False,True,True,False,True,True,False,True
179,5,0.61,False,False,True,False,True,True,True,False,True
181,3,0.9415,False,False,True,True,False,False,False,False,True
182,0,0.9983,False,False,False,False,False,False,False,False,False
183,2,0.99967,False,False,True,True,False,False,False,False,False
185,0,0.943,False,False,False,False,False,False,False,False,False
186,2,0.90125,False,False,True,False,False,False,False,True,False
188,3,0.96,False,False,True,True,False,False,True,False,False
189,2,,False,False,False,True,False,False,False,False,True
190,3,0.958,False,False,False,True,True,False,False,True,False
193,0,0.9997,False,False,False,False,False,False,False,False,False
194,4,0.99,False,False,False,True,False,True,True,True,False
195,4,0.972,False,True,True,True,False,False,True,False,False
196,0,0.98,False,False,False,False,False,False,False,False,False
197,2,0.9668,False,False,True,False,True,False,False,False,False
198,3,0.91,False,False,True,False,True,False,False,False,True
199,2,0.99999,False,False,True,False,False,False,True,False,False
200,2,0.94,False,False,True,False,True,False,False,False,False
