dimension,label,n_yes,n_no,median_yes,median_no,median_diff,ci_lower,ci_upper,mann_whitney_p
grouped_splitting,Grouped splitting,4,105,0.9169,0.979,-0.06209999999999993,-0.33899999999999997,-0.021100000000000008,0.017808268522698355
external_validation,External validation,13,96,0.9652,0.9795,-0.01430000000000009,-0.05149999999999999,0.0011349999999999971,0.09142892394032022
reports_train_and_test,Train+test reported,65,44,0.978,0.9784999999999999,-0.0004999999999999449,-0.01650000000000007,0.02090125000000001,0.8384710778685198
hpo_reported,HPO reported,46,63,0.9604999999999999,0.99,-0.02950000000000008,-0.048699999999999966,-0.0050000000000000044,0.0007377706407057963
selection_criteria,Selection criteria,39,70,0.949,0.99,-0.041000000000000036,-0.05999999999999994,-0.022599999999999953,1.4372297745490677e-07
code_available,Code available,15,94,0.9574,0.979,-0.021599999999999953,-0.09699999999999998,0.006269999999999998,0.016913802864425866
data_available,Data available,39,70,0.961,0.98,-0.019000000000000017,-0.03637962499999987,-0.0020000000000000018,0.021189145107770903
adequate_size,Dataset ≥ 500,39,70,0.974,0.9795,-0.00550000000000006,-0.028000000000000025,0.010000000000000009,0.20042848369755095
kfold_or_better,k-fold or better,25,84,0.9573,0.98,-0.022699999999999942,-0.054749999999999965,0.0010000000000000009,0.035291342918026734
